municipio,total,urbana,"urbana_na_sede_municipal","total_percentual","urbana_percentual","urbana_na_sede_municipal_percentual","area_total_km2","densidade_demografica_da_unidade_territorial_hab_km2"
Mira Estrela,2820,1881,1824,"100,00%","66,00%","64,00%","216,8","13,01"
Miracatu,20592,10586,7583,"100,00%","51,00%","36,00%","1001,5","20,56"
Mirandópolis,27483,24455,23053,"100,00%","88,00%","83,00%","918,8","29,91"
Mirante do Paranapanema,17059,10045,7568,"100,00%","58,00%","44,00%","1239,1","13,77"
Mirassol,53792,52433,51907,"100,00%","97,00%","96,00%","243,2","221,22"
Mirassolândia,4295,3492,2699,"100,00%","81,00%","62,00%","166,2","25,85"
Mococa,66290,61149,58197,"100,00%","92,00%","87,00%","854,9","77,55"
Mogi das Cruzes,387779,357313,147006,"100,00%","92,00%","37,00%","713,3","543,65"
Mogi Guaçu,137245,130295,127239,"100,00%","94,00%","92,00%","812,2","168,98"
Moji Mirim,86505,80945,78144,"100,00%","93,00%","90,00%","497,8","173,78"
Mombuca,3266,2685,2685,"100,00%","82,00%","82,00%","133,7","24,43"
Monções,2132,1836,1836,"100,00%","86,00%","86,00%","104,2","20,45"
Mongaguá,46293,46091,46091,"100,00%","99,00%","99,00%","142,1","325,72"
Monte Alegre do Sul,7152,4091,1929,"100,00%","57,00%","26,00%","110,3","64,84"
Monte Alto,46642,44543,43776,"100,00%","95,00%","93,00%","346,5","134,61"
Monte Aprazível,21746,19803,18923,"100,00%","91,00%","87,00%","496,9","43,76"
Monte Azul Paulista,18931,17713,17159,"100,00%","93,00%","90,00%","263,4","71,86"
Monte Castelo,4063,3211,3211,"100,00%","79,00%","79,00%","232,6","17,47"
Monte Mor,48949,45978,45759,"100,00%","93,00%","93,00%","240,5","203,55"
Monteiro Lobato,4120,1778,1778,"100,00%","43,00%","43,00%","333,3","12,36"
Morro Agudo,29116,27907,27468,"100,00%","95,00%","94,00%","1388,2","20,97"
Morungaba,11769,10051,8840,"100,00%","85,00%","75,00%","146,9","80,14"
Motuca,4290,3108,3108,"100,00%","72,00%","72,00%","228,7","18,76"
Murutinga do Sul,4186,2573,2573,"100,00%","61,00%","61,00%","250,8","16,69"
Nantes,2707,2431,2431,"100,00%","89,00%","89,00%","286,2","9,46"
Narandiba,4288,3105,3105,"100,00%","72,00%","72,00%",358,"11,98"
Natividade da Serra,6678,2788,2511,"100,00%","41,00%","37,00%","833,4","8,01"
Nazaré Paulista,16414,13911,13911,"100,00%","84,00%","84,00%","325,9","50,36"
Neves Paulista,8772,7916,7667,"100,00%","90,00%","87,00%","218,3","40,18"
Nhandeara,10725,8688,7727,"100,00%","81,00%","72,00%","435,8","24,61"
Nipoã,4274,3797,3797,"100,00%","88,00%","88,00%","137,8","31,01"
Nova Aliança,5891,4881,3930,"100,00%","82,00%","66,00%","217,3","27,11"
Nova Campina,8515,5762,4878,"100,00%","67,00%","57,00%","385,4","22,1"
Nova Canaã Paulista,2114,880,880,"100,00%","41,00%","41,00%","124,4","16,99"
Nova Castilho,1125,746,746,"100,00%","66,00%","66,00%","183,2","6,14"
Nova Europa,9300,8625,8625,"100,00%","92,00%","92,00%","160,4",58
Nova Granada,19180,17775,17117,"100,00%","92,00%","89,00%","531,9","36,06"
Nova Guataporanga,2177,1890,1890,"100,00%","86,00%","86,00%","34,1","63,81"
Nova Independência,3068,2446,2446,"100,00%","79,00%","79,00%","265,8","11,54"
Nova Luzitânia,3441,3087,3087,"100,00%","89,00%","89,00%","74,1","46,46"
Nova Odessa,51242,50407,48260,"100,00%","98,00%","94,00%","73,8","694,34"
Novais,4592,4181,4181,"100,00%","91,00%","91,00%","117,8","38,99"
Novo Horizonte,36593,34048,33845,"100,00%","93,00%","92,00%","931,7","39,28"
Nuporanga,6817,6185,6185,"100,00%","90,00%","90,00%","348,3","19,57"
Ocauçu,4163,3324,2950,"100,00%","79,00%","70,00%","300,4","13,86"
Óleo,2673,1763,1444,"100,00%","65,00%","54,00%","198,1","13,49"
Olímpia,50024,47244,44644,"100,00%","94,00%","89,00%","802,7","62,32"
Onda Verde,3884,3043,3043,"100,00%","78,00%","78,00%","243,1","15,98"
Oriente,6097,5695,5608,"100,00%","93,00%","91,00%","218,6","27,89"
Orindiúva,5675,5223,5223,"100,00%","92,00%","92,00%","248,1","22,87"
Orlândia,39781,38756,38756,"100,00%","97,00%","97,00%","291,8","136,34"
Osasco,666740,666740,666740,"100,00%","100,00%","100,00%",64,"10411,8"
Oscar Bressane,2537,2099,2099,"100,00%","82,00%","82,00%","221,3","11,46"
Osvaldo Cruz,30917,27782,27717,"100,00%","89,00%","89,00%","248,4","124,47"
Ourinhos,103035,100374,100374,"100,00%","97,00%","97,00%","296,3","347,78"
Ouro Verde,7800,7176,7176,"100,00%","92,00%","92,00%","267,6","29,15"
Ouroeste,8405,7546,6891,"100,00%","89,00%","81,00%","288,8","29,1"
Pacaembu,13226,9745,9745,"100,00%","73,00%","73,00%","338,5","39,07"
Palestina,11051,9188,8096,"100,00%","83,00%","73,00%","695,5","15,89"
Palmares Paulista,10934,10619,10619,"100,00%","97,00%","97,00%","82,1","133,14"
Palmeira d'Oeste,9584,7268,6963,"100,00%","75,00%","72,00%","319,2","30,02"
Palmital,21186,19427,19344,"100,00%","91,00%","91,00%","547,8","38,67"
Panorama,14583,14165,14120,"100,00%","97,00%","96,00%","356,3","40,93"
Paraguaçu Paulista,42278,38314,36922,"100,00%","90,00%","87,00%","999,9","42,28"
Paraibuna,17388,5242,5242,"100,00%","30,00%","30,00%","809,6","21,48"
Paraíso,5898,5188,5188,"100,00%","87,00%","87,00%","155,8","37,85"
Paranapanema,17808,14477,8513,"100,00%","81,00%","47,00%","1018,7","17,48"
Paranapuã,3815,3394,3394,"100,00%","88,00%","88,00%","140,5","27,16"
Parapuã,10844,8896,8478,"100,00%","82,00%","78,00%","365,7","29,65"
Pardinho,5582,4389,3899,"100,00%","78,00%","69,00%","209,9","26,59"
Pariquera-Açu,18446,12661,12661,"100,00%","68,00%","68,00%","359,3","51,34"
Parisi,2032,1643,1643,"100,00%","80,00%","80,00%","84,5","24,04"
Patrocínio Paulista,13000,10499,10475,"100,00%","80,00%","80,00%","602,8","21,56"
Paulicéia,6339,5270,5211,"100,00%","83,00%","82,00%","373,6","16,97"
Paulínia,82146,82070,82070,"100,00%","99,00%","99,00%","138,8","591,72"
Paulistânia,1779,1212,1212,"100,00%","68,00%","68,00%","256,7","6,93"
Paulo de Faria,8589,7750,7750,"100,00%","90,00%","90,00%","738,3","11,63"
Pederneiras,41497,38592,36989,"100,00%","93,00%","89,00%",729,"56,92"
Pedra Bela,5780,1440,1440,"100,00%","24,00%","24,00%","158,6","36,45"
Pedranópolis,2558,1591,1241,"100,00%","62,00%","48,00%","260,2","9,83"
Pedregulho,15700,11583,10945,"100,00%","73,00%","69,00%","712,6","22,03"
Pedreira,41558,41209,40920,"100,00%","99,00%","98,00%","109,2","380,45"
Pedrinhas Paulista,2940,2480,2480,"100,00%","84,00%","84,00%","152,5","19,28"
Pedro de Toledo,10204,7033,7033,"100,00%","68,00%","68,00%","670,4","15,22"
Penápolis,58510,55882,55808,"100,00%","95,00%","95,00%","710,8","82,31"
Pereira Barreto,24962,23235,23235,"100,00%","93,00%","93,00%","978,9","25,5"
Pereiras,7454,4978,4978,"100,00%","66,00%","66,00%","223,3","33,38"
Peruíbe,59773,59105,59105,"100,00%","98,00%","98,00%","311,4","191,95"
Piacatu,5287,4663,4663,"100,00%","88,00%","88,00%","232,4","22,75"
Piedade,52143,23760,21924,"100,00%","45,00%","42,00%","746,9","69,82"
Pilar do Sul,26406,20748,18913,"100,00%","78,00%","71,00%","681,1","38,77"
Pindamonhangaba,146995,141708,103928,"100,00%","96,00%","70,00%","729,9","201,39"
Pindorama,15039,14235,12338,"100,00%","94,00%","82,00%","184,8","81,37"
Pinhalzinho,13105,6455,6219,"100,00%","49,00%","47,00%","154,5","84,8"
Piquerobi,3537,2669,2669,"100,00%","75,00%","75,00%","482,6","7,33"
Piquete,14107,13212,13212,"100,00%","93,00%","93,00%",176,"80,16"
Piracaia,25116,25116,20478,"100,00%","100,00%","81,00%",385,"65,23"
Piracicaba,364571,356743,298450,"100,00%","97,00%","81,00%","1376,9","264,77"
Piraju,28475,25604,22173,"100,00%","89,00%","77,00%","504,5","56,44"
Pirajuí,22704,18501,17909,"100,00%","81,00%","78,00%","824,2","27,55"
Pirangi,10623,9528,9528,"100,00%","89,00%","89,00%","215,5","49,3"
Pirapora do Bom Jesus,15733,15733,15733,"100,00%","100,00%","100,00%","108,8","144,63"
Pirapozinho,24694,23462,22874,"100,00%","95,00%","92,00%","479,6","51,49"
Pirassununga,70081,64216,58558,"100,00%","91,00%","83,00%","727,1","96,38"
Piratininga,12072,10352,9718,"100,00%","85,00%","80,00%","402,4",30
Pitangueiras,35307,33948,30701,"100,00%","96,00%","86,00%","430,6","81,99"
Planalto,4463,3766,3766,"100,00%","84,00%","84,00%","290,1","15,38"
Platina,3192,2513,2513,"100,00%","78,00%","78,00%","326,7","9,77"
Poá,106013,104338,98871,"100,00%","98,00%","93,00%","17,1","6211,94"
Poloni,5395,4802,4802,"100,00%","89,00%","89,00%","133,5","40,4"
Pompéia,19964,18574,17603,"100,00%","93,00%","88,00%","784,1","25,46"
Pongaí,3481,2925,2919,"100,00%","84,00%","83,00%","183,3","18,99"
Pontal,40244,39492,36571,"100,00%","98,00%","90,00%","356,3","112,94"
Pontalinda,4074,3381,3381,"100,00%","82,00%","82,00%","210,2","19,38"
Pontes Gestal,2518,2123,2123,"100,00%","84,00%","84,00%","217,4","11,58"
Populina,4223,3412,3412,"100,00%","80,00%","80,00%","315,9","13,37"
Porangaba,8326,4020,3753,"100,00%","48,00%","45,00%","265,7","31,34"
Porto Feliz,48893,41096,40494,"100,00%","84,00%","82,00%","557,1","87,76"
Porto Ferreira,51400,50478,50277,"100,00%","98,00%","97,00%","244,9","209,88"
Potim,19397,14709,14709,"100,00%","75,00%","75,00%","44,5","436,22"
Potirendaba,15449,13884,13884,"100,00%","89,00%","89,00%","342,4","45,12"
Pracinha,2858,1369,1369,"100,00%","47,00%","47,00%","62,8","45,48"
Pradópolis,17377,16100,16100,"100,00%","92,00%","92,00%","167,5","103,73"
Praia Grande,262051,262051,200725,"100,00%","100,00%","76,00%","147,5","1776,09"
Pratânia,4599,3485,3485,"100,00%","75,00%","75,00%","175,1","26,26"
Presidente Alves,4123,3431,2673,"100,00%","83,00%","64,00%","287,2","14,36"
Presidente Bernardes,13570,10500,9595,"100,00%","77,00%","70,00%","752,1","18,04"
Presidente Epitácio,41318,38545,37355,"100,00%","93,00%","90,00%","1259,1","32,82"
Presidente Prudente,207610,203375,200132,"100,00%","97,00%","96,00%","562,8","368,89"
Presidente Venceslau,37910,36272,36272,"100,00%","95,00%","95,00%","756,7","50,1"
Promissão,35674,30070,29794,"100,00%","84,00%","83,00%","781,5","45,65"
Quadra,3236,828,804,"100,00%","25,00%","24,00%","205,7","15,73"
Quatá,12799,12011,12003,"100,00%","93,00%","93,00%","651,7","19,64"
Queiroz,2808,2385,2385,"100,00%","84,00%","84,00%","233,8","12,01"
Queluz,11309,9275,9275,"100,00%","82,00%","82,00%","249,8","45,27"
Quintana,6004,5494,5494,"100,00%","91,00%","91,00%","319,6","18,79"
Rafard,8612,7591,7591,"100,00%","88,00%","88,00%","121,4","70,93"
Rancharia,28804,25828,24886,"100,00%","89,00%","86,00%","1587,5","18,14"
Redenção da Serra,3873,2213,2213,"100,00%","57,00%","57,00%","309,4","12,52"
Regente Feijó,18494,17049,15338,"100,00%","92,00%","82,00%","265,1","69,76"
Reginópolis,7323,4362,4362,"100,00%","59,00%","59,00%","410,8","17,83"
Registro,54261,48169,47056,"100,00%","88,00%","86,00%","722,4","75,11"
Restinga,6587,5179,5179,"100,00%","78,00%","78,00%","245,7","26,8"
Ribeira,3358,1236,908,"100,00%","36,00%","27,00%","335,7",10
Ribeirão Bonito,12135,11220,10149,"100,00%","92,00%","83,00%","471,6","25,73"
Ribeirão Branco,18269,9293,5718,"100,00%","50,00%","31,00%","697,5","26,19"
Ribeirão Corrente,4273,3397,3397,"100,00%","79,00%","79,00%","148,3","28,81"
Ribeirão do Sul,4446,3295,3295,"100,00%","74,00%","74,00%","203,7","21,83"
Ribeirão dos Índios,2187,1850,1850,"100,00%","84,00%","84,00%","196,3","11,14"
Ribeirão Grande,7422,2344,2344,"100,00%","31,00%","31,00%","333,4","22,26"
Ribeirão Pires,113068,113068,77986,"100,00%","100,00%","68,00%","98,8","1144,99"
Ribeirão Preto,604682,602966,591387,"100,00%","99,00%","97,00%","651,3","928,46"
Rifaina,3436,3008,2966,"100,00%","87,00%","86,00%","162,5","21,14"
Rincão,10414,8460,8460,"100,00%","81,00%","81,00%","315,9","32,97"
Rinópolis,9935,8636,7953,"100,00%","86,00%","80,00%","358,3","27,73"
Rio Claro,186253,181720,178793,"100,00%","97,00%","95,00%","498,7","373,47"
Rio das Pedras,29501,28562,28562,"100,00%","96,00%","96,00%","226,7","130,16"
Rio Grande da Serra,43974,43974,43974,"100,00%","100,00%","100,00%","36,9","1192,45"
Riolândia,10575,8366,8355,"100,00%","79,00%","79,00%","633,4","16,7"
Riversul,6163,4492,4492,"100,00%","72,00%","72,00%","386,2","15,96"
Rosana,19691,15858,5569,"100,00%","80,00%","28,00%","742,9","26,51"
Roseira,9599,9116,9116,"100,00%","94,00%","94,00%","130,7","73,47"
Rubiácea,2729,1563,1563,"100,00%","57,00%","57,00%","236,9","11,52"
Rubinéia,2862,2355,1727,"100,00%","82,00%","60,00%","236,9","12,08"
Sabino,5217,4575,4506,"100,00%","87,00%","86,00%","310,9","16,78"
Sagres,2395,1819,1819,"100,00%","75,00%","75,00%","147,8","16,2"
Sales,5451,4907,4491,"100,00%","90,00%","82,00%","308,5","17,67"
Sales Oliveira,10568,9569,9569,"100,00%","90,00%","90,00%","305,6","34,58"
Salesópolis,15635,9954,8451,"100,00%","63,00%","54,00%",425,"36,79"
Salmourão,4818,4321,4321,"100,00%","89,00%","89,00%","172,3","27,96"
Saltinho,7059,5891,5891,"100,00%","83,00%","83,00%","99,7","70,77"
Salto,105516,104774,104774,"100,00%","99,00%","99,00%","133,2","792,17"
Salto de Pirapora,40132,31463,31463,"100,00%","78,00%","78,00%","280,5","143,07"
Salto Grande,8787,7933,7929,"100,00%","90,00%","90,00%","188,4","46,64"
Sandovalina,3699,2581,2581,"100,00%","69,00%","69,00%","455,1","8,13"
Santa Adélia,14333,13560,12206,"100,00%","94,00%","85,00%","330,9","43,32"
Santa Albertina,5723,4891,4891,"100,00%","85,00%","85,00%","272,8","20,98"
Santa Bárbara d'Oeste,180009,178596,175899,"100,00%","99,00%","97,00%","271,5","663,08"
Santa Branca,13763,12140,12140,"100,00%","88,00%","88,00%","275,3",50
Santa Clara d'Oeste,2084,1571,1571,"100,00%","75,00%","75,00%","183,4","11,36"
Santa Cruz da Conceição,4002,2708,2708,"100,00%","67,00%","67,00%","150,1","26,66"
Santa Cruz da Esperança,1953,1323,1323,"100,00%","67,00%","67,00%","148,1","13,19"
Santa Cruz das Palmeiras,29932,29000,29000,"100,00%","96,00%","96,00%","295,3","101,35"
Santa Cruz do Rio Pardo,43921,40154,39582,"100,00%","91,00%","90,00%","1113,5","39,44"
Santa Ernestina,5568,5145,5145,"100,00%","92,00%","92,00%","134,4","41,42"
Santa Fé do Sul,29239,28088,27902,"100,00%","96,00%","95,00%","208,2","140,43"
Santa Gertrudes,21634,21404,21404,"100,00%","98,00%","98,00%",98,"220,74"
Santa Isabel,50453,39591,37125,"100,00%","78,00%","73,00%","362,7","139,09"
Santa Lúcia,8248,7754,7754,"100,00%","94,00%","94,00%",154,"53,55"
Santa Maria da Serra,5413,4772,4765,"100,00%","88,00%","88,00%","257,2","21,05"
Santa Mercedes,2831,2458,2014,"100,00%","86,00%","71,00%","166,9","16,96"
Santa Rita d'Oeste,2543,1773,1678,"100,00%","69,00%","65,00%","210,1","12,1"
Santa Rita do Passa Quatro,26478,23701,23178,"100,00%","89,00%","87,00%","754,1","35,11"
Santa Rosa de Viterbo,23862,22747,22573,"100,00%","95,00%","94,00%","288,6","82,69"
Santa Salete,1447,819,819,"100,00%","56,00%","56,00%","79,4","18,23"
Santana da Ponte Pensa,1641,1097,1097,"100,00%","66,00%","66,00%","130,3","12,6"
Santana de Parnaíba,108813,108813,108813,"100,00%","100,00%","100,00%","179,8","605,17"
Santo Anastácio,20475,19080,19080,"100,00%","93,00%","93,00%","552,5","37,06"
Santo André,676407,676407,574976,"100,00%","100,00%","85,00%","174,9","3866,35"
Santo Antônio da Alegria,6304,4669,4669,"100,00%","74,00%","74,00%","310,3","20,31"
Santo Antônio de Posse,20650,18834,18177,"100,00%","91,00%","88,00%",154,"134,09"
Santo Antônio do Aracanguá,7626,5971,3105,"100,00%","78,00%","40,00%","1308,2","5,83"
Santo Antônio do Jardim,5943,3532,3532,"100,00%","59,00%","59,00%",110,"54,05"
Santo Antônio do Pinhal,6486,3855,3552,"100,00%","59,00%","54,00%",133,"48,76"
Santo Expedito,2803,2478,2478,"100,00%","88,00%","88,00%","94,4","29,68"
Santópolis do Aguapeí,4277,4133,4133,"100,00%","96,00%","96,00%","127,9","33,44"
Santos,419400,419086,416233,"100,00%","99,00%","99,00%","281,1","1492,23"
São Bento do Sapucaí,10468,5040,5040,"100,00%","48,00%","48,00%","252,6","41,44"
São Bernardo do Campo,765463,752658,736161,"100,00%","98,00%","96,00%","408,8","1872,59"
São Caetano do Sul,149263,149263,149263,"100,00%","100,00%","100,00%","15,4","9708,79"
São Carlos,221950,213061,116850,"100,00%","96,00%","52,00%","1137,3","195,15"
São Francisco,2793,2167,2167,"100,00%","77,00%","77,00%","75,6","36,94"
São João da Boa Vista,83639,80302,80053,"100,00%","96,00%","95,00%","516,4","161,96"
São João das Duas Pontes,2566,1961,1961,"100,00%","76,00%","76,00%","129,3","19,84"
São João de Iracema,1780,1452,1452,"100,00%","81,00%","81,00%","178,6","9,97"
São João do Pau d'Alho,2103,1705,1705,"100,00%","81,00%","81,00%","117,7","17,86"
São Joaquim da Barra,46512,45678,45678,"100,00%","98,00%","98,00%","410,6","113,28"
São José da Bela Vista,8406,7485,7485,"100,00%","89,00%","89,00%",277,"30,35"
São José do Barreiro,4077,2869,2509,"100,00%","70,00%","61,00%",571,"7,14"
São José do Rio Pardo,51900,45959,45951,"100,00%","88,00%","88,00%","419,2","123,81"
São José do Rio Preto,408258,383490,371919,"100,00%","93,00%","91,00%","431,3","946,53"
São José dos Campos,629921,617106,531789,"100,00%","97,00%","84,00%","1099,8","572,77"
São Lourenço da Serra,13973,12719,12719,"100,00%","91,00%","91,00%","186,4","74,96"
São Luís do Paraitinga,10397,6180,5607,"100,00%","59,00%","53,00%","617,3","16,84"
São Manuel,38342,37413,34288,"100,00%","97,00%","89,00%","650,8","58,92"
São Miguel Arcanjo,31450,21502,17839,"100,00%","68,00%","56,00%","930,3","33,8"
São Paulo,11253503,11152344,11111108,"100,00%","99,00%","98,00%","1523,3","7387,69"
São Pedro,31662,26607,25631,"100,00%","84,00%","80,00%",611,"51,82"
São Pedro do Turvo,7198,5150,5003,"100,00%","71,00%","69,00%","731,8","9,84"
São Roque,78821,71488,47197,"100,00%","90,00%","59,00%","306,3","257,3"
São Sebastião,73942,73109,24100,"100,00%","98,00%","32,00%","400,4","184,68"
São Sebastião da Grama,12099,7971,7971,"100,00%","65,00%","65,00%","252,4","47,94"
São Simão,14346,12928,12928,"100,00%","90,00%","90,00%","617,2","23,24"
São Vicente,332445,331817,331817,"100,00%","99,00%","99,00%","148,9","2232,28"
Sarapuí,9027,6646,5774,"100,00%","73,00%","63,00%","352,7","25,6"
Sarutaiá,3622,2957,2957,"100,00%","81,00%","81,00%","141,6","25,58"
Sebastianópolis do Sul,3031,2347,2347,"100,00%","77,00%","77,00%","162,9","18,61"
Serra Azul,11256,8017,7827,"100,00%","71,00%","69,00%",283,"39,77"
Serra Negra,26387,22893,22602,"100,00%","86,00%","85,00%","203,7","129,52"
Serrana,38878,38466,38466,"100,00%","98,00%","98,00%","125,5","309,68"
Sertãozinho,110074,108772,101513,"100,00%","98,00%","92,00%","402,6","273,43"
Sete Barras,13005,7191,7191,"100,00%","55,00%","55,00%","1053,5","12,34"
Severínia,15501,14774,14774,"100,00%","95,00%","95,00%","140,4","110,38"
Silveiras,5792,2879,2879,"100,00%","49,00%","49,00%","414,8","13,96"
Socorro,36686,24944,24944,"100,00%","67,00%","67,00%",449,"81,7"
Sorocaba,586625,580655,580655,"100,00%","98,00%","98,00%",449,"1306,55"
Sud Mennucci,7435,6389,5112,"100,00%","85,00%","68,00%","591,3","12,57"
Sumaré,241311,238470,96276,"100,00%","98,00%","39,00%",153,"1577,14"
Suzanápolis,3383,2258,2258,"100,00%","66,00%","66,00%","328,5","10,3"
Suzano,262480,253240,152003,"100,00%","96,00%","57,00%","206,6","1270,37"
Tabapuã,11363,10519,10301,"100,00%","92,00%","90,00%","345,6","32,88"
Tabatinga,14686,12578,11464,"100,00%","85,00%","78,00%","369,6","39,74"
Taboão da Serra,244528,244528,244528,"100,00%","100,00%","100,00%","20,3","12049,9"
Taciba,5714,4852,4852,"100,00%","84,00%","84,00%","607,3","9,41"
Taguaí,10828,7757,7757,"100,00%","71,00%","71,00%","145,3","74,51"
Taiaçu,5894,5339,5339,"100,00%","90,00%","90,00%","106,6","55,27"
Taiúva,5447,4967,4967,"100,00%","91,00%","91,00%","132,5","41,12"
Tambaú,22406,19909,19909,"100,00%","88,00%","88,00%","561,8","39,88"
Tanabi,24055,21735,20617,"100,00%","90,00%","85,00%","745,8","32,25"
Tapiraí,8012,5728,5728,"100,00%","71,00%","71,00%","755,1","10,61"
Tapiratiba,12737,10504,10442,"100,00%","82,00%","81,00%","222,5","57,23"
Taquaral,2726,2613,2613,"100,00%","95,00%","95,00%","53,9","50,58"
Taquaritinga,53988,51168,48688,"100,00%","94,00%","90,00%","593,6","90,95"
Taquarituba,22291,19579,18687,"100,00%","87,00%","83,00%","448,4","49,71"
Taquarivaí,5151,2811,2811,"100,00%","54,00%","54,00%","231,8","22,22"
Tarabai,6607,6109,6109,"100,00%","92,00%","92,00%","196,8","33,57"
Tarumã,12885,12126,12126,"100,00%","94,00%","94,00%","303,2","42,5"
Tatuí,107326,102256,102256,"100,00%","95,00%","95,00%","523,5","205,03"
Taubaté,278686,272673,231649,"100,00%","97,00%","83,00%","624,9","445,98"
Tejupá,4809,3120,1109,"100,00%","64,00%","23,00%","296,3","16,23"
Teodoro Sampaio,21386,17365,16298,"100,00%","81,00%","76,00%",1556,"13,74"
Terra Roxa,8505,8107,8107,"100,00%","95,00%","95,00%","221,5","38,39"
Tietê,36835,33489,33341,"100,00%","90,00%","90,00%","404,8",91
Timburi,2646,1924,1924,"100,00%","72,00%","72,00%","196,8","13,45"
Torre de Pedra,2254,1469,1469,"100,00%","65,00%","65,00%","71,3","31,59"
Torrinha,9330,7939,7939,"100,00%","85,00%","85,00%","310,7","30,03"
Trabiju,1544,1418,1418,"100,00%","91,00%","91,00%","63,4","24,35"
Tremembé,40984,36936,32219,"100,00%","90,00%","78,00%","191,4","214,17"
Três Fronteiras,5427,4598,4522,"100,00%","84,00%","83,00%","153,1","35,45"
Tuiuti,5930,2969,1963,"100,00%","50,00%","33,00%","126,7","46,8"
Tupã,63476,60930,59470,"100,00%","95,00%","93,00%","628,5","100,99"
Tupi Paulista,14269,11206,11176,"100,00%","78,00%","78,00%","245,3","58,16"
Turiúba,1930,1580,1580,"100,00%","81,00%","81,00%","153,1","12,6"
Turmalina,1978,1407,1178,"100,00%","71,00%","59,00%","147,9","13,37"
Ubarana,5289,4845,4845,"100,00%","91,00%","91,00%","209,6","25,23"
Ubatuba,78801,76907,75694,"100,00%","97,00%","96,00%","710,8","110,87"
Ubirajara,4427,3229,3229,"100,00%","72,00%","72,00%","282,4","15,68"
Uchoa,9471,8801,8801,"100,00%","92,00%","92,00%","252,5","37,51"
União Paulista,1599,1224,1224,"100,00%","76,00%","76,00%","79,1","20,21"
Urânia,8836,7436,7436,"100,00%","84,00%","84,00%","208,9","42,29"
Uru,1251,1081,1081,"100,00%","86,00%","86,00%",147,"8,51"
Urupês,12714,11314,10803,"100,00%","88,00%","84,00%","323,7","39,27"
Valentim Gentil,11036,10073,10073,"100,00%","91,00%","91,00%","149,7","73,72"
Valinhos,106793,101626,97270,"100,00%","95,00%","91,00%","148,1","721,02"
Valparaíso,22576,21469,21469,"100,00%","95,00%","95,00%","857,5","26,33"
Vargem,8801,4421,4421,"100,00%","50,00%","50,00%","142,8","61,64"
Vargem Grande do Sul,39266,37274,37274,"100,00%","94,00%","94,00%","267,2","146,94"
Vargem Grande Paulista,42997,42997,42997,"100,00%","100,00%","100,00%","42,1","1021,79"
Várzea Paulista,107089,107089,107089,"100,00%","100,00%","100,00%","34,8","3076,65"
Vera Cruz,10769,9363,9330,"100,00%","86,00%","86,00%","248,1","43,41"
Vinhedo,63611,61612,61612,"100,00%","96,00%","96,00%","81,6","779,51"
Viradouro,17297,16791,16772,"100,00%","97,00%","96,00%","217,7","79,44"
Vista Alegre do Alto,6886,6352,6352,"100,00%","92,00%","92,00%",95,"72,5"
Vitória Brasil,1737,1435,1435,"100,00%","82,00%","82,00%","49,7","34,95"
Votorantim,108809,104659,92527,"100,00%","96,00%","85,00%","183,7","592,47"
Votuporanga,84692,82319,81513,"100,00%","97,00%","96,00%","424,1","199,69"
Zacarias,2335,1836,1830,"100,00%","78,00%","78,00%","319,1","7,32"
